sent1,sent2,sim
A car is parking.,A cat is playing.,0
A man is playing a piano.,A woman is peeling a potato.,0
A woman is swimming.,A man is spitting.,0
A man is playing a flute.,A woman is applying eye liner.,0
A man is being put into an abulance.,A man is pouring pasta onto a plate.,0
A woman is applying makeup.,A man is playing a guitar.,0
The man is pushing the van.,The woman is singing.,0
A man is playing a piano.,A guy is peeling a potato.,0
A man is dancing.,A rat is running.,0
A man is playing guitar.,A woman is peeling a tuber.,0
A woman is riding a horse.,A man is running on rope.,0
A woman is peeling an orange.,A man is playing a flute.,0
A man is bowling.,A kitten is walking.,0
A woman is scraping a carrot.,A man is striking clay pots.,0
The man danced in the diner.,The bomb exploded in the desert.,0
A woman is cooking meat.,A man is speaking.,0
The boy is playing the piano.,The woman is pouring oil into the pan.,0
A woman is braiding her hair.,A man is riding a motorcycle.,0
A man is cutting a potato.,A woman is climbing a rock wall.,0
A woman is feeding a baby.,A man is adding water to pan.,0
The two dogs were in the pen.,The cowboy rode his horse in the desert.,0
A man is opening a box using a knife.,A man is playing a guitar.,0
A man is eating.,A woman is rock climbing.,0
A girl is eating a cupcake.,A man is playing a trumpet.,0
A man is buttering bread.,A woman is ridint a horse.,0
A man is playing the drums.,A woman is slicing some leaves.,0
A woman is in the rain.,A car is driving along the road.,0
A woman is hitting a man.,A man is holding a slow loris.,0
A woman is riding an elephant.,A man is lifting himself.,0
A woman is seasoning a piece of meat.,A man is loading a rifle with bullets.,0
A rabbi is talking.,A man is walking on a rope.,0
A man rides a horse.,A woman rubs a baby's leg.,0
A man is playing guitar.,Smeone is laying down.,0
A man  is driving a car.,A woman dips a shrimp in batter.,0
A monkey is walking on a bed.,A man is riding a horse.,0
A man is frying a tortilla.,A person is performing a card trick.,0
The man is mixing whipping cream.,The man is holding a skunk.,0
A man is playing a violin.,The baby is laughing and crawling.,0
People are walking in the garden.,One boy is talking with other man.,0
A man is speaking on a phone.,A panda bear is chewing on a stick.,0
A young woman is playing the flute.,A woman is washing off the top of a freezer.,0
A person is slicing an onion.,A solenodon is walking along the ground.,0
A woman is mixing eggs in the bowl.,A man is doing push ups.,0
A boat sails along the water.,The man is playing the guitar.,0
A man is cutting grass.,A masked man sings.,0
A man is cutting grass.,A clown is singing.,0
A woman is cutting scallions.,A woman falls on a sand castle.,0
A man is slam dunking a ball.,A woman is slicing some onions.,0
A machine is sharpening a pencil.,A girl is riding a bicycle.,0
A woman is brushing her feet.,The sun is rising behind trees.,0
Someone is mixing a liquid.,A man is playing a guitar.,0
A man is catching a ball.,A cat is rubbing against a baby.,0
A girl is reading a newspaper.,A chef is peeling a potato.,0
A boy is playing piano and singing.,A pig is agitating a lion.,0
A woman is slicing big pepper.,A man is playing an instrument.,0
A person is boiling noodles.,A cat is licking a bottle.,0
A monkey is walking through the water.,A guy is playing a trumpet.,0
A woman is putting on makeup.,A band is singing.,0
A dog is driving a car.,A guy is talking into a microphone.,0
A man is traveling in a boat.,A woman is cutting up a carrot with a knife.,0
A tiger club is playing with a ball.,A person is chopping shrimp with a knife.,0
A man reels in a fish.,A woman is pouring oil in a bowl.,0
A woman is dancing by a fire.,A man ties a noose.,0
A woman is cutting an onion.,A horse is standing.,0
A boy is cutting paper.,A man is loading a rifle.,0
The man talked on the telephone.,Girls are walking on the stage.,0
An animal is walking.,A woman is applying eye makeup.,0
A man is smoking.,A baby is sucking on a pacifier.,0
Women are holding each other and dancing together.,Two men are playing table tennis.,0
The man is playing the guitar.,The cat cleaned his face with his paw.,0
Someoen is cooking onions.,A man is swinging nunchucks.,0
A chimp is kicking a target.,A woman is putting oil into a skillet.,0
A cat is playing with a watermelon on a floor.,A man is pouring oil into a pan.,0
A man is doing exercise.,A baby is laughing.,0
The girl is carrying a baby.,A man is eating a food.,0
A chef is slicing carrot.,A person is drawing a picture.,0
A woman puts ingredients in a whisked egg.,A man pours gasoline.,0
A man is playing the guitar.,A person is slicing a meat into pieces.,0
A man spins on a surf board.,A man is putting barbecue sauce on chicken.,0
A man is opening a package containing headphones.,A woman is riding a horse.,0
A little girl plays the violin on a beach.,The girl sat on the couch to crochet.,0
A woman is adding some mushrooms and liquid to a pot.,A young man is playing the guitar.,0
A man is passionately playing a guitar in front of an audience.,A woman is peeling a potato.,0
A female applies something to he hair with her hands.,A cat is eating a slice of watermelon.,0
The man is playing the wooden flute.,A little boy is vacuuming the floor.,0
The man is aiming a gun.,A boy is playing on a toy phone.,0
The men are playing soccer.,A man is riding a motorcycle.,0
Two men are dancing together.,A woman opens a closet.,0
A woman is running on the beach.,A dog is swimming in a pool.,0
A man is reading an email.,A person opening a banana.,0
A man is straining pasta.,A man plays a wooden flute.,0
A woman is swimming.,A man is singing.,0.067
A baby is crawling happily.,A cat is walking on hardwood floor.,0.1
A woman cuts a pink loaf with a knife.,A man is playing a guitar.,0.118
A woman is pouring egg into a frying pan.,A man is petting two dogs.,0.167
A person is adding food in a pan.,A man is dancing in the street.,0.188
A man is smoking.,A man is mixing.,0.2
A person is making a bed.,A person is eating at a table.,0.2
A woman is hitting a man.,A woman is taking a bath.,0.2
The woman is smoking.,The man is walking.,0.2
A woman is firing a rifle.,A woman is cutting a lemon.,0.2
A man is playing flute.,A man is dancing.,0.2
The girl is riding the horse.,The girl is spraying the plants with water.,0.2
Someone is cutting a circle out of a pink sheet of paper.,Someone is pouring tomato sauce into a pot of meat.,0.2
A man is playing flute.,A man is petting a tied up dog.,0.2
A woman is riding a horse on the beach.,A woman is washing a bowl.,0.2
A man is adding oil to a pot.,A dog is catching a fish in a river.,0.2
A dog is barking.,A jet is flying.,0.231
Someone is frying meat.,Someone is playing paino.,0.25
A man is climbing a rope.,A man is sitting on a rock.,0.25
A cat is playing the piano.,A cat is licking its paw.,0.25
A woman is dancing in the rain.,A woman is adding oil to a dish.,0.25
A woman is exercising.,A man is dancing.,0.25
A cat is playing.,A woman is playing flute.,0.25
A woman is dancing.,A woman is slicing ginger.,0.25
A woman is slicing a lemon.,A man is showing a bread.,0.25
A man dries his hands.,A woman fixes her hair.,0.25
Someone is folding a piece of paper.,A person is slicing a small pieces of ginger.,0.25
A man is doing a card trick.,A man is squeezing water.,0.25
A man is lifting weights.,A man is chopping egg plant.,0.25
A man is kicking oots of water.,A woman is slicing a red pepper.,0.25
A man puts a knife in a vice.,A man is dancing.,0.25
A man is lifting heavy weights.,A wallaby is licking a woman's hand.,0.25
The man did pushups on a wall.,The man tased the food.,0.25
A person is putting shredded cheese in a pot.,A hamster is eating some seeds.,0.25
Someone is drawing.,Someone is dancing.,0.3
A man is hitting a boy with flower vase.,A man is cutting a mat.,0.3
A woman is dancing near a fire.,A woman is cutting a tomatoe.,0.308
An okapi is eating from a tree.,A moose drinks from a sprinkler.,0.333
A man and woman dance.,A man is petting a dog.,0.333
The girls danced on the stage.,A girl is putting on makeup.,0.333
A man is erasing a chalk board.,"A woman is dancing, and singing.",0.364
The man is buttering the bread.,The man is stirring the rice.,0.4
A boy is riding a horse.,A monkey is riding a bus.,0.4
Two men are dancing.,Two women are shopping.,0.4
A man is playing guitar.,A cat is playing.,0.4
A animal is eating.,The animal is hopping.,0.4
A man is peeling potato.,A man is playing a guitar.,0.4
A man is dancing.,A woman is exercising.,0.4
A man is playing soccer.,A man is drawing some figures.,0.4
A woman is playing the flute.,A woman is slicing some tuna.,0.4
A person is riding a motorcyle.,A person is chopping an onion.,0.4
A man is singing into a microphone.,A man is dancing in the rain.,0.4
A man is talking on the phone.,A man is moon-walking across a store.,0.4
A man is slicing a carrot by a machine.,A man is climbing a rope.,0.4
A cat is playing with an antenna.,A boy is playing in the mud.,0.4
The woman is slicing tofu.,The woman is putting on lipstick.,0.4
A man is riding on a boat.,A man is tying in the machine.,0.4
A woman is folding paper.,A woman is applying eye shadow.,0.4
The woman is peeling lemon.,The man is balancing on the wire.,0.4
A man is playing a cello.,A man is rapidly lifting small weights.,0.4
The man is talking.,A man is walking down stairs.,0.4
A woman is feeding an aardvark.,A woman is chopping up garlic.,0.4
A woman is brushing her feet.,A woman is chopping an onion.,0.4
A woman is relaxing in a bath tub.,A woman is stabbing a potato with a fork.,0.4
A man is placing meat inside a plastic bag.,A woman is carrying a wallaby in a bag.,0.4
A man is slicing a carrot by a machine.,A man is standing in the rain.,0.4
A man is slicing a bun.,A man is breaking pots.,0.4
The man played haki sak in the office.,The man is seasoning the vegetables.,0.4
A man is carrying another man on his back.,A man is taking pictures of ant.,0.4
A man is cleaning the windows.,A man is driving a car.,0.4
The men are fighting each other.,The man drew on the white paper.,0.4
A man is dicing an onion.,The man is playing the guitar.,0.4
A man performs on a stage.,A man guts a fish.,0.4
Someone is holding and petting a baby tiger.,Someone is rinsing a large beef steak at the kitchen sink.,0.4
A man is talking with a woman.,A woman is walking with a dog.,0.5
A man is singing.,A man is dancing.,0.5
A man is fishing.,A man is exercising.,0.5
A person is playing a piano.,A person is slicing a potato.,0.5
A woman is riding on a horse.,A woman is picking tomatoes.,0.5
A man is doing exercise.,A man is firing a rifle.,0.5
A man is burning a flag.,A man is shooting a gun.,0.5
A man is eating wood.,A man is adding oil to car.,0.5
A man is playing a guitar.,A woman is riding a horse.,0.5
A gun is being fired.,A potato is being peeled.,0.5
A woman is mixing eggs.,The woman is eating.,0.5
A woman is cutting a plastic sheet.,A woman is playing a guitar on streets.,0.5
A man is placing meat in a bag.,A man is drivong a car.,0.5
