sent_coercion,sent_anomaly,sent_control
the pilot mastered the airplane after the intense class,the pilot amazed the airplane after the intense class,the pilot flew the airplane after the intense class
the journalist began the article before his coffee break,the journalist astonished the article before his coffee break,the journalist wrote the article before his coffee break
the baby tried the banana before the short nap,the baby panicked the banana before the short nap,the baby ate the banana before the short nap
the gymnast attempted the beam during the morning competition,the gymnast alarmed the beam during the morning competition,the gymnast walked the beam during the morning competition
the professor started the book before his psychological incident,the professor disgusted the book before his psychological incident,the professor read the book before his psychological incident
the baker finished the cake just before the wedding,the baker panicked the cake just before the wedding,the baker iced the cake just before the wedding
the pastor endured the collar through his long sermon,the pastor terrified the collar through his long sermon,the pastor wore the collar through his long sermon
the schoolboy completed the comic while on the bus,the schoolboy panicked the comic while on the bus,the schoolboy read the comic while on the bus
the assistant completed the copies before the afternoon meeting,the assistant offended the copies before the afternoon meeting,the assistant made the copies before the afternoon meeting
the cripple mastered the crutches before the wheelchair arrived,the cripple angered the crutches before the wheelchair arrived,the cripple used the crutches before the wheelchair arrived
the toddlers enjoyed the cupcakes before their afternoon nap,the toddlers comforted the cupcakes before their afternoon nap,the toddlers ate the cupcakes before their afternoon nap
the celebrity enjoyed the email despite the foul language,the celebrity amazed the email despite the foul language,the celebrity read the email despite the foul language
the student finished the essay after the review session,the student provoked the essay after the review session,the student wrote the essay after the review session
the nutritionist tried the ginseng after the vendor left,the nutritionist excited the ginseng after the vendor left,the nutritionist took the ginseng after the vendor left
the Northerner tried the grits after the long walk,the Northerner offended the grits after the long walk,the Northerner ate the grits after the long walk
the photographer completed the headshot while the actor posed,the photographer irritated the headshot while the actor posed,the photographer took the headshot while the actor posed
the bridesmaid endured the heels despite the foot pain,the bridesmaid scared the heels despite the foot pain,the bridesmaid wore the heels despite the foot pain
the vendor completed the invoice after the client called,the vendor horrified the invoice after the client called,the vendor wrote the invoice after the client called
the secretary began the memo after the long meeting,the secretary delighted the memo after the long meeting,the secretary wrote the memo after the long meeting
the newborn enjoyed the milk after the afternoon rest,the newborn displeased the milk after the afternoon rest,the newborn drank the milk after the afternoon rest
the hiker attempted the mountain before the trip ended,the hiker amazed the mountain before the trip ended,the hiker climbed the mountain before the trip ended
the customer enjoyed the nachos during the short outing,the customer frightened the nachos during the short outing,the customer ate the nachos during the short outing
the editor finished the newspapers during his long flight,the editor infuriated the newspapers during his long flight,the editor read the newspapers during his long flight
the kindergartner started the picture before the teacher left,the kindergartner astonished the picture before the teacher left,the kindergartner drew the picture before the teacher left
the brothers enjoyed the pizza during the shopping break,the brothers astonished the pizza during the shopping break,the brothers ate the pizza during the shopping break
the artist began the portrait as the client arrived,the artist excited the portrait as the client arrived,the artist painted the portrait as the client arrived
the grandmother endured the stairs before buying the lift,the grandmother climbed the stairs before buying the lift,the grandmother finished the stairs before buying the lift
the cook finished the steak before the water boiled,the cook cooked the steak before the water boiled,the cook endured the steak before the water boiled
the couple enjoyed the sundae after the morning service,the couple angered the sundae after the morning service,the couple ate the sundae after the morning service
the knight mastered the sword before the monthly competition,the knight terrified the sword before the monthly competition,the knight used the sword before the monthly competition
the carpenter began the table during the morning break,the carpenter comforted the table during the morning break,the carpenter built the table during the morning break
the marine enjoyed the television instead of physical exercise,the marine excited the television instead of physical exercise,the marine watched the television instead of physical exercise
the camper started the tent as the storm broke,the camper captivated the tent as the storm broke,the camper pitched the tent as the storm broke
the programmer finished the Website after his friends arrived,the programmer scared the Website after his friends arrived,the programmer made the Website after his friends arrived
the barfly tried the whiskey before his beer arrived,the barfly shocked the whiskey before his beer arrived,the barfly drank the whiskey before his beer arrived
the architect knew that the contractor started the apartment after the inspector left,the architect knew that the contractor astounded the apartment after the inspector left,the architect knew that the contractor built the apartment after the inspector left
the housewife hated that the husband enjoyed the beer after the church service,the housewife hated that the husband captivated the beer after the church service,the housewife hated that the husband drank the beer after the church service
